系列,牌号,销售区域,部门,销售,公司名称,近三年牌号成交规模,公司类型,制成品,行业,细分行业,用料,使用品类,使用二级品类,月用量,是否授信,冻结原因,授信期限,授信区间,快塑贷授信额度,快塑贷在贷余额,保险额度,第三方预授信额度,第三方激活额度,第三方已用额度,第三方预授信明细,第三方激活明细,复购率,最近成交日期,公司规模,近一年公司渗透率,近一年公司品类渗透率,近一年成交品类数,近一年成交品类,crm是否有期货用料,近一年是否有期货订单,是否代采客户,黑名单状态,近30天上线天数,当月上线天数,是否绑定企微,近一年快塑贷逾期率,近一年最长逾期天数,近一年最长逾期天数区间,近一年平均逾期天数,近一年平均逾期天数区间,是否使用美金支付,是否使用手册核销
茂金属Elite系列,5538G,CPG,出口部,杨渊,厦门金德威包装有限公司,,终端,冷冻食品包装膜/袋|立袋/自立袋/站立袋|通用食品包装膜/袋|食品包装涂层,其它|软包装,其它|食品,"HDPE膜料-5110|伊朗石化,HDPE膜料-6207FL(HTA108)|埃克森,LDPE涂覆料-L705|沙特日本住友,LDPE膜料-2420H|中海壳牌,LLDPE膜料-2038.68G|陶氏,LLDPE膜料-7042|福建联合,MLLDPE-4009MC|埃克森,MLLDPE-5400G|陶氏,MLLDPE-5401G|陶氏,MLLDPE-5538G|陶氏,MLLDPE-59999.44|陶氏,MLLDPE-6202|陶氏,MLLDPE-SP1520|三井化学,POP 聚烯烃塑性体-1140G|陶氏,POP 聚烯烃塑性体-1450G1P|陶氏,POP 聚烯烃塑性体-PL1881G|陶氏,PPB注塑料-HJ800R|韩国晓星,PPHM膜料-HP510M|中海壳牌,PPR膜料-RD208CF|北欧化工","HDPE,LDPE,LLDPE,MLLDPE,POP 聚烯烃塑性体,PPB,PPHM,PPR","HDPE膜料,LDPE涂覆料,LDPE膜料,LLDPE膜料,MLLDPE,POP 聚烯烃塑性体,PPB注塑料,PPHM膜料,PPR膜料",580,已授信,,15,8-15天,1000000,,0,500000,0,0,京塑条|授信额度:|500000|,,年购,2025-11-05,中客户,0.36%,"HDPE膜料|月用量|100|渗透率|0.00%|,MLLDPE|月用量|100|渗透率|2.06%|,POP 聚烯烃塑性体|月用量|0|渗透率|0.00%|,PPB注塑料|月用量|0|渗透率|0.00%|,PPR注塑料|月用量|0|渗透率|0.00%|,LDPE膜料|月用量|100|渗透率|0.00%|,LLDPE膜料|月用量|100|渗透率|0.00%|,LDPE涂覆料|月用量|50|渗透率|0.00%|",1,MLLDPE,有期货用料,无期货订单,非代采客户,正常,未上线,,已绑定,1,4,1-7天,4,1-7天,否,是
茂金属Elite系列,5538G,CPG-上海内海,CPG-上海内海,CPG-上海内海1,三樱包装(江苏)有限公司,,终端,肉类食品共挤包装膜/袋|铝塑软管（牙膏管等）,软包装,日用|食品,"EAA-3990|美国杜邦,HDPE注塑料-M80063S|沙特SABIC,HDPE膜料-F920A|韩华道达尔,LDPE涂覆料-19N430|英力士,LDPE涂覆料-2420M|中海壳牌,LDPE涂覆料-722|陶氏,LDPE涂覆料-EC7000|陶氏,LDPE膜料-2420H|扬子巴斯夫,LDPE膜料-2426H|扬子巴斯夫,LDPE膜料-6236|北欧化工,LDPE膜料-FT6230|北欧化工,LLDPE膜料-0220KJ|上海赛科,LLDPE膜料-2036P|陶氏,LLDPE膜料-2045.11G|陶氏,LLDPE膜料-2045G|陶氏,LLDPE膜料-2049G|陶氏,LLDPE膜料-218WJ|沙特SABIC,LLDPE膜料-7042|扬子石化,LLDPE膜料-LL0220AA|上海赛科,MLLDPE-1018MA(1018.MA)|埃克森,MLLDPE-1018MA|埃克森,MLLDPE-2018MA|埃克森,MLLDPE-5401GT|陶氏,MLLDPE-5538G|陶氏,POP 聚烯烃塑性体-1450G1P|陶氏","EAA,HDPE,LDPE,LLDPE,MLLDPE,POP 聚烯烃塑性体","EAA,HDPE注塑料,HDPE膜料,LDPE涂覆料,LDPE膜料,LLDPE膜料,MLLDPE,POP 聚烯烃塑性体",760,待风控重审,系统冻结|风险低：近一年未合作,7,1-7天,300000,,0,,,,,,无复购率,2022-05-30,大客户,,"MLLDPE|月用量|120|渗透率|0.00%|,LDPE涂覆料|月用量|150|渗透率|0.00%|,HDPE膜料|月用量|50|渗透率|0.00%|,LLDPE膜料|月用量|310|渗透率|0.00%|,LDPE膜料|月用量|80|渗透率|0.00%|,POP 聚烯烃塑性体|月用量|10|渗透率|0.00%|,EAA|月用量|40|渗透率|0.00%|",,,有期货用料,无期货订单,非代采客户,正常,未上线,,已绑定,,,无逾期,,无逾期,是,是
茂金属Elite系列,5538G,CPG,CPG华东,"向雨,徐岳",金华市伸华包装材料有限公司,,终端,通用包装膜/袋|通用食品包装膜/袋,其它,其它,"HDPE注塑料-52518|中东,HDPE注塑料-8008H|独山子石化,HDPE注塑料-FL8008|福建联合,HDPE注塑料-IG464-C|加拿大NOVA,HDPE膜料-3355F|泰国PTT,HDPE膜料-F920A|韩华道达尔,HDPE膜料-FB5600|北欧化工,LDPE涂覆料-722|陶氏,LDPE涂覆料-955|韩华,LDPE涂覆料-EC7000|陶氏,LDPE膜料-2022.AC(100AC)|埃克森,LDPE膜料-2420H|伊朗石化,LDPE膜料-2426H|扬子巴斯夫,LDPE膜料-LCC70|舒尔曼塑料,LDPE重包料-LD07523.BW(LD150BW)|埃克森,LLDPE膜料-2018.AY|埃克森,LLDPE膜料-2036P|陶氏,LLDPE膜料-FB2230|北欧化工,LLDPE膜料-FD18N|沙特QAMAR,MLLDPE-1018MF(1018.MF)|埃克森,MLLDPE-1020.RA(2010RA)|埃克森,MLLDPE-2010MA|埃克森,MLLDPE-5220G|陶氏,MLLDPE-5401GT|陶氏,MLLDPE-5401G|陶氏,MLLDPE-5538G|陶氏,MLLDPE-5815|陶氏,MLLDPE-LL1090|泰国PTT,POE-3980FL|埃克森,POP 聚烯烃塑性体-PL1881G|陶氏,PPHM注塑料-PPH-M17(V30G)|海南乙烯,PPHM注塑料-V30G|宁夏宝丰,PPHM注塑料-Y16SY|绍兴","HDPE,LDPE,LLDPE,MLLDPE,POE,POP 聚烯烃塑性体,PPHM","HDPE注塑料,HDPE膜料,LDPE涂覆料,LDPE膜料,LDPE重包料,LLDPE膜料,MLLDPE,POE,POP 聚烯烃塑性体,PPHM注塑料",710,待风控重审,授信期满冻结,7,1-7天,600000,,0,289610,0,0,京塑条|授信额度:|289610|,,三月购,2026-03-02,大客户,2.68%,"MLLDPE|月用量|310|渗透率|3.37%|,LDPE重包料|月用量|25|渗透率|0.00%|,LLDPE膜料|月用量|200|渗透率|0.00%|,POE|月用量|5|渗透率|0.00%|,LDPE涂覆料|月用量|80|渗透率|0.00%|,PPHM注塑料|月用量|10|渗透率|8.12%|,LDPE膜料|月用量|25|渗透率|0.00%|,HDPE膜料|月用量|20|渗透率|0.00%|,LLDPE注塑料|月用量|10|渗透率|0.00%|,HDPE注塑料|月用量|30|渗透率|25.83%|,POP 聚烯烃塑性体|月用量|5|渗透率|0.00%|,LDPE|月用量|15|渗透率|0.00%|",3,"HDPE,MLLDPE,PPHM",,有期货订单,非代采客户,正常,未上线,,已绑定,0.5,4,1-7天,1.125,1-7天,否,是
茂金属Elite系列,5538G,快塑华北内海,快塑华北内海,华北内海1,济南硕鲁包装材料有限公司,,终端,棚膜,消费品,农业类,"LLDPE注塑料-20024RQ|埃克森,LLDPE膜料-2045G|陶氏,MLLDPE-5538G|陶氏,MLLDPE-LLE1918|美国polymers","LLDPE,MLLDPE","LLDPE注塑料,LLDPE膜料,MLLDPE",50,未授信,,0,未授信,,,0,,,,,,无复购率,2024-09-11,小客户,,MLLDPE|月用量|20|渗透率|0.00%|,,,,无期货订单,非代采客户,正常,未上线,,未绑定,,,无逾期,,无逾期,否,是
茂金属Elite系列,5538G,,,,山东新达包装科技有限公司,,终端,热收缩膜,软包装,工业,"HDPE拉丝料-7750Z|鲁清石化,HDPE膜料-FB1350|北欧化工,LDPE重包料-2420D|大庆石化,LLDPE膜料-0209AA|伊朗石化,LLDPE膜料-2045G|陶氏,LLDPE膜料-2645G|陶氏,LLDPE膜料-7042N|抚顺石化,LLDPE膜料-7042|抚顺石化,LLDPE膜料-7042|齐鲁石化,MLLDPE-0520.MC(2005MC)|埃克森,MLLDPE-5400G|陶氏,MLLDPE-5538G|陶氏,MLLDPE-XP6056ML|埃克森,PPR膜料-RD208CF|北欧化工,TERPP膜料-F5606|燕山石化,ULDPE膜料-4203|陶氏","HDPE,LDPE,LLDPE,MLLDPE,PPR,TERPP,ULDPE","HDPE拉丝料,HDPE膜料,LDPE重包料,LLDPE膜料,MLLDPE,PPR膜料,TERPP膜料,ULDPE膜料",680,待风控重审,1,15,8-15天,1,,0,0,0,0,京塑条|授信额度:|0|,,无复购率,2022-09-15,大客户,,"PPR膜料|月用量|0|渗透率|0.00%|,LDPE重包料|月用量|20|渗透率|0.00%|,ULDPE膜料|月用量|0|渗透率|0.00%|,LLDPE膜料|月用量|200|渗透率|0.00%|,HDPE拉丝料|月用量|0|渗透率|0.00%|,HDPE膜料|月用量|0|渗透率|0.00%|,LDPE|月用量|100|渗透率|0.00%|,MLLDPE|月用量|100|渗透率|0.00%|,MLLDPE|月用量|480|渗透率|0.00%|,TERPP膜料|月用量|0|渗透率|0.00%|,PPCP|月用量|0|渗透率|0.00%|,PPR注塑料|月用量|0|渗透率|0.00%|",,,有期货用料,无期货订单,非代采客户,正常,未上线,,已绑定,,,无逾期,,无逾期,否,是
茂金属Elite系列,5538G,CPG,CPG华东,王金莹,江苏达胜热缩防护用品有限公司,20,终端,,,,"HDPE拉丝料-5000S|大庆石化,HDPE膜料-5110|伊朗石化,HDPE膜料-5121B|中海壳牌,HDPE膜料-6207FL(HTA108)|埃克森,LDPE膜料-2426H|兰州石化,LDPE重包料-150E|陶氏,LDPE重包料-2100TN00|伊朗石化,LDPE重包料-2420D|中海壳牌,LDPE重包料-FB3003|卡塔尔石化,LDPE重包料-FE3000|卡塔尔石化,LLDPE膜料-2045G|陶氏,LLDPE膜料-FB2230|北欧化工,MLLDPE-1018MA(1018.MA)|埃克森,MLLDPE-1327MA|埃克森,MLLDPE-5538G|陶氏,POE-3000|埃克森","HDPE,LDPE,LLDPE,MLLDPE,POE","HDPE拉丝料,HDPE膜料,LDPE膜料,LDPE重包料,LLDPE膜料,MLLDPE,POE",100,已授信,,15,8-15天,300000,127600,0,0,0,0,京塑条|授信额度:|0|,,无复购率,2026-06-16,小客户,0.92%,"MLLDPE|月用量|30|渗透率|0.00%|,HDPE拉丝料|月用量|10|渗透率|0.00%|,LLDPE膜料|月用量|10|渗透率|9.17%|,LDPE膜料|月用量|10|渗透率|0.00%|,LDPE重包料|月用量|10|渗透率|0.00%|,HDPE膜料|月用量|10|渗透率|0.00%|,POE|月用量|20|渗透率|0.00%|",1,LLDPE,,无期货订单,非代采客户,正常,未上线,,已绑定,0,0,无逾期,0,无逾期,否,是
茂金属Elite系列,5538G,CPG,CPG华东,徐岳,苏州国奥印刷科技有限公司,,终端,拉伸缠绕膜,软包装,工业,"HDPE注塑料-8008H|独山子石化,HDPE注塑料-8008|兰州石化,HDPE注塑料-8008|塔里木,HDPE注塑料-8008|宁夏宝丰,HDPE注塑料-8008|宁煤,HDPE注塑料-8008|美国壳牌,HDPE注塑料-8008|蒲洁能化,HDPE电缆料-S42005|印度信诚,LDPE膜料-2102TX00|伊朗石化,LDPE膜料-2420E02|伊朗石化,LDPE膜料-2426H|大庆石化,LDPE膜料-2426H|烟台万华,LLDPE膜料-2045G|陶氏,LLDPE膜料-35B|中韩石化（武汉）,LLDPE膜料-7042|中安联合,LLDPE膜料-7042|中煤榆林,LLDPE膜料-7042|中煤鄂能化,LLDPE膜料-7042|宁夏宝丰,LLDPE膜料-7042|扬子石化,LLDPE膜料-7042|浙江石化,LLDPE膜料-7042|镇海炼化,LLDPE膜料-ZH7042|镇海有限,MLLDPE-3518CB|独山子石化,MLLDPE-5220G|陶氏,MLLDPE-5538G|陶氏,MLLDPE-M3518.CB|埃克森,MLLDPE-SP1520|三井化学,PPB注塑料-2500HY|宁煤,PPB注塑料-EPS30R|延长榆能化,PPB注塑料-K8003|东华能源,PPB注塑料-K8003|宁夏宝丰,PPB注塑料-K8003|广东石化,PPB注塑料-K8003|广州石化,PPB注塑料-K8003|扬子石化,PPB注塑料-K8003|浙江石化,PPB注塑料-K8003|茂名石化,PPB注塑料-K8003|裕龙石化,PPB注塑料-PPB-K8003|镇海炼化,PPB注塑料-PPB-M03(K8003)|大连恒力,PPHM拉丝料-T30S|延安炼化","HDPE,LDPE,LLDPE,MLLDPE,PPB,PPHM","HDPE注塑料,HDPE电缆料,LDPE膜料,LLDPE膜料,MLLDPE,PPB注塑料,PPHM拉丝料",70,待风控重审,系统冻结|风险低：近一年未合作,7,1-7天,300000,,0,300000,0,0,京塑条|授信额度:|300000|,,无复购率,2021-12-03,小客户,,"LLDPE膜料|月用量|70|渗透率|0.00%|,MLLDPE|月用量|0|渗透率|0.00%|,LDPE发泡料|月用量|0|渗透率|0.00%|",,,,无期货订单,非代采客户,正常,5到10天,3,已绑定,,,无逾期,,无逾期,否,是
茂金属Elite系列,5538G,CPG,CPG华南,尹书瑶,广州市科成包装材料有限公司,,终端,热封膜|通用食品包装膜/袋,其它|软包装,其它|工业,"EVA-00111|埃克森,EVA-7350M|台湾塑胶,GPPS-123P|上海赛科,HDPE中空料-5502BN|中化泉州,HDPE中空料-5502|中科炼化,HDPE拉丝料-5000S|大庆石化,HDPE注塑料-2911FS|抚顺石化,HDPE注塑料-H555JA|泰国SCG,HDPE注塑料-HD6480(HMA025)|埃克森,HDPE膜料-2285|道达尔,HDPE膜料-3355F|泰国PTT,HDPE膜料-5121B|中海壳牌,HDPE膜料-6207FL(HTA108)|埃克森,HDPE膜料-7000F|泰国PTT,HDPE膜料-9001|台湾塑胶,HDPE膜料-9455F|抚顺石化,HDPE膜料-F920A|韩华道达尔,HDPE膜料-FB1350|北欧化工,HDPE膜料-FB1520|北欧化工,HDPE膜料-FB5600|北欧化工,HDPE膜料-H377C|泰国SCG,HDPE膜料-HD5290HLF(HTA001HD5)|埃克森,HDPE膜料-TR144|茂名石化,HIPS-622P|上海赛科,LDPE涂覆料-1C7A|燕山石化,LDPE涂覆料-722|陶氏,LDPE膜料-0270|卡塔尔石化,LDPE膜料-0274|卡塔尔石化,LDPE膜料-151BW|埃克森,LDPE膜料-2126S3|布拉斯科,LDPE膜料-2420H|中海壳牌,LDPE膜料-2420K|中海壳牌,LDPE膜料-2426H|中海壳牌,LDPE膜料-2426K|茂名石化,LDPE膜料-352E|陶氏,LDPE膜料-450E|陶氏,LDPE膜料-582E|陶氏,LDPE膜料-951-000|茂名石化,LDPE膜料-951-050|茂名石化,LDPE膜料-C150Y|马来西亚PETLIN,LDPE膜料-DFD-0118|陶氏,LDPE膜料-LFI2447A|Arya Sasol聚合物,LDPE重包料-132G|陶氏,LDPE重包料-150E|陶氏,LDPE重包料-1810D|茂名石化,LDPE重包料-2420F|中海壳牌,LDPE重包料-2426F|兰州石化,LDPE重包料-2426F|大庆石化,LDPE重包料-330E|陶氏,LDPE重包料-FB3003|卡塔尔石化,LDPE重包料-FE3000|卡塔尔石化,LLDPE膜料-0118F|加拿大NOVA,LLDPE膜料-0209AA|上海赛科,LLDPE膜料-0220KJ|上海赛科,LLDPE膜料-10018.BU|埃克森,LLDPE膜料-1001KI|埃克森,LLDPE膜料-1001XV|埃克森,LLDPE膜料-1018.AV|埃克森,LLDPE膜料-118NM|沙特SABIC,LLDPE膜料-1220P|陶氏,LLDPE膜料-1221P|陶氏,LLDPE膜料-2018.AY|埃克森,LLDPE膜料-2018.XV(201XV)|福建联合,LLDPE膜料-2022.KI(201KI)|福建联合,LLDPE膜料-2027G|陶氏,LLDPE膜料-2036P|陶氏,LLDPE膜料-2038.68G|陶氏,LLDPE膜料-2045.11G|陶氏,LLDPE膜料-2045G|陶氏,LLDPE膜料-2047G|陶氏,LLDPE膜料-2049G|陶氏,LLDPE膜料-222WT|中沙石化,LLDPE膜料-2645.11G|陶氏,LLDPE膜料-2645G|陶氏,LLDPE膜料-35B|中韩石化（武汉）,LLDPE膜料-488-4A|陶氏,LLDPE膜料-6910|英力士,LLDPE膜料-7042K|茂名石化,LLDPE膜料-7042N|抚顺石化,LLDPE膜料-7042|中海壳牌,LLDPE膜料-7042|烟台万华,LLDPE膜料-7042|茂名石化,LLDPE膜料-7050|抚顺石化,LLDPE膜料-AT6111|陶氏,LLDPE膜料-DFDA-7047NT7|陶氏,LLDPE膜料-DFDA-7059NT7|陶氏,LLDPE膜料-FB2230|北欧化工,LLDPE膜料-FB2310|北欧化工,LLDPE膜料-LL0220AA|上海赛科,LLDPE膜料-Q2018H|卡塔尔石化,LLDPE膜料-Q2018N|卡塔尔石化,LLDPE膜料-SMART151|韩国SK,LLDPE膜料-TH60|陶氏,LLDPE膜料-XUS61530.02|杜邦,LLDPE膜料-沙特2018BU|埃克森,MLLDPE-0535.MC(3505MC)|埃克森,MLLDPE-1012MK|埃克森,MLLDPE-1018MA(1018.MA)|埃克森,MLLDPE-1018MA|埃克森,MLLDPE-1018MA彩包|埃克森,MLLDPE-1018MF(1018.MF)|埃克森,MLLDPE-1327MA|埃克森,MLLDPE-2010MA|埃克森,MLLDPE-2010ME|埃克森,MLLDPE-2012MA|埃克森,MLLDPE-2012MK|埃克森,MLLDPE-2018MA|埃克森,MLLDPE-2018MB(2018.MB)|埃克森,MLLDPE-2703MC|埃克森,MLLDPE-4002MC|埃克森,MLLDPE-4009MC|埃克森,MLLDPE-5045P|陶氏,MLLDPE-5100G|陶氏,MLLDPE-5110G|陶氏,MLLDPE-5220G|陶氏,MLLDPE-5400G|陶氏,MLLDPE-5401GT|陶氏,MLLDPE-5401G|陶氏,MLLDPE-5500G|陶氏,MLLDPE-5538G|陶氏,MLLDPE-5960G1|陶氏,MLLDPE-5960G|陶氏,MLLDPE-6202|陶氏,MLLDPE-FK1820|北欧化工,MLLDPE-FK1828|北欧化工,MLLDPE-FPS317-A|加拿大NOVA,MLLDPE-M0814.MK|埃克森,MLLDPE-M0814.ML(8784ML)|埃克森,MLLDPE-M3410EP|道达尔,MLLDPE-M3518.CB|埃克森,MLLDPE-M4040|道达尔,MLLDPE-M4707|道达尔,MLLDPE-M6040|道达尔,MLLDPE-SP0510|三井化学,MLLDPE-SP0540|日本普瑞曼,MLLDPE-SP1510|日本普瑞曼,MLLDPE-SP1520|日本普瑞曼,MLLDPE-SP2520|三井化学,MLLDPE-SPS116-C|加拿大NOVA,MLLDPE-SPS116-D|加拿大NOVA,MLLDPE-XP6026ML|埃克森,MLLDPE-XP6026MQ|埃克森,MLLDPE-XP6056ML|埃克森,MLLDPE-XP8318ML|埃克森,MLLDPE-XP8358ML|埃克森,MLLDPE-XP8656MK|埃克森,MLLDPE-XP8656ML(0516.ML)|埃克森,PA6-YH3400|岳化,POE-39001|陶氏,POE-7467|杜邦,POE-DF740|三井化学,POE-EG8200G|陶氏,POP 聚烯烃塑性体-1140G|陶氏,POP 聚烯烃塑性体-1450G1P|陶氏,POP 聚烯烃塑性体-PL1880G|陶氏,POP 聚烯烃塑性体-PL1881G|陶氏,PPB注塑料-J-380A|乐天化学,PPB膜料-BC918CF|北欧化工,PPHM拉丝料-PPH-T03|天津联合,PPHM膜料-HP510M|中海壳牌,PPR膜料-RB707CF|北欧化工,ULDPE膜料-4203|陶氏,ULDPE膜料-4404G|陶氏,乙烯丙烯共聚物-6102FL|威达美,改性PE膜料-PE2762|卡博特","EVA,GPPS,HDPE,HIPS,LDPE,LLDPE,MLLDPE,PA6,POE,POP 聚烯烃塑性体,PPB,PPHM,PPR,ULDPE,乙烯丙烯共聚物,改性PE","EVA,GPPS,HDPE中空料,HDPE拉丝料,HDPE注塑料,HDPE膜料,HIPS,LDPE涂覆料,LDPE膜料,LDPE重包料,LLDPE膜料,MLLDPE,PA6,POE,POP 聚烯烃塑性体,PPB注塑料,PPB膜料,PPHM拉丝料,PPHM膜料,PPR膜料,ULDPE膜料,乙烯丙烯共聚物,改性PE膜料",834,已授信,,30,16-30天,1000000,,1000000,508315.84,0,0,京塑条|授信额度:|508316|,,月月购,2026-05-15,大客户,5.80%,"LLDPE膜料|月用量|130|渗透率|12.55%|,PPR膜料|月用量|20|渗透率|0.00%|,PPCP|月用量|20|渗透率|0.00%|,HDPE拉丝料|月用量|20|渗透率|0.00%|,PPHM拉丝料|月用量|30|渗透率|0.00%|,LLDPE|月用量|20|渗透率|0.00%|,LDPE膜料|月用量|205|渗透率|12.68%|,LDPE重包料|月用量|20|渗透率|0.00%|,PPCP膜料|月用量|5|渗透率|0.00%|,PPB膜料|月用量|10|渗透率|0.00%|,HDPE注塑料|月用量|40|渗透率|0.00%|,PPB注塑料|月用量|1|渗透率|0.00%|,HDPE膜料|月用量|20|渗透率|4.17%|,LDPE|月用量|50|渗透率|0.00%|,PPHM|月用量|20|渗透率|0.00%|,ULDPE膜料|月用量|15|渗透率|0.00%|,MLLDPE|月用量|222|渗透率|2.06%|,PA6|月用量|10|渗透率|0.00%|,LDPE涂覆料|月用量|20|渗透率|0.00%|,POE|月用量|2|渗透率|0.00%|,GPPS|月用量|1|渗透率|0.00%|,EVA|月用量|10|渗透率|0.00%|,HIPS|月用量|5|渗透率|0.00%|,PPB|月用量|5|渗透率|0.00%|,HDPE中空料|月用量|20|渗透率|0.00%|,PPHM膜料|月用量|30|渗透率|0.00%|,改性PE膜料|月用量|1|渗透率|0.00%|,POP 聚烯烃塑性体|月用量|2|渗透率|31.25%|",5,"HDPE,LDPE,LLDPE,MLLDPE,POP 聚烯烃塑性体",有期货用料,有期货订单,非代采客户,正常,未上线,,已绑定,0.5926,4,1-7天,1.5185,1-7天,否,是
茂金属Elite系列,5538G,CPG,CPG华南,张键洪,爱索尔(广州)包装有限公司,,终端,化妆品包装软管|医药包装软管|铝塑软管（牙膏管等）,软包装,医药|日用,"EAA-3003|韩国SK,HDPE中空料-5502LW|茂名石化,HDPE中空料-B53-35H-011|中海壳牌,HDPE注塑料-FL8008|福建联合,HDPE注塑料-ME2500|LG化学,HDPE膜料-3355F|泰国PTT,HDPE膜料-6207FL(HTA108)|埃克森,HDPE膜料-F920A|韩华道达尔,HDPE膜料-FB1350|北欧化工,LDPE涂覆料-722|陶氏,LDPE涂覆料-LD251G|中天合创,LDPE涂覆料-LD251|埃克森,LDPE膜料-151BW|埃克森,LDPE膜料-951-000|茂名石化,LDPE重包料-165BW1(03322.BW1)|埃克森,LDPE重包料-165BW1|埃克森,LDPE重包料-2420D|中海壳牌,LDPE重包料-2420F|中海壳牌,LDPE重包料-LD07523.BW(LD150BW)|埃克森,LLDPE膜料-118NJ|沙特SABIC,LLDPE膜料-2038.68G|陶氏,LLDPE膜料-2045G|陶氏,LLDPE膜料-7042|广州石化,LLDPE膜料-FB2230|北欧化工,MLLDPE-0535.MC(3505MC)|埃克森,MLLDPE-2010MA|埃克森,MLLDPE-4002MC|埃克森,MLLDPE-4009MC|埃克森,MLLDPE-5538G|陶氏,MLLDPE-5815|陶氏,MLLDPE-5960G1|陶氏","EAA,HDPE,LDPE,LLDPE,MLLDPE","EAA,HDPE中空料,HDPE注塑料,HDPE膜料,LDPE涂覆料,LDPE膜料,LDPE重包料,LLDPE膜料,MLLDPE",1200,待风控重审,系统冻结：逾期超15天,60,31天+,1500000,,0,325824.06,0,0,京塑条|授信额度:|325824|,,三月购,2026-02-06,大客户,1.11%,"HDPE注塑料|月用量|225|渗透率|0.50%|,LDPE涂覆料|月用量|100|渗透率|0.00%|,HDPE中空料|月用量|0|渗透率|0.00%|,LDPE|月用量|100|渗透率|0.00%|,LDPE膜料|月用量|75|渗透率|2.67%|,LLDPE|月用量|2|渗透率|0.00%|,LDPE重包料|月用量|200|渗透率|0.25%|,HDPE膜料|月用量|200|渗透率|0.00%|,LLDPE膜料|月用量|200|渗透率|0.83%|,MLLDPE|月用量|200|渗透率|3.09%|,HDPE|月用量|100|渗透率|0.00%|,EAA|月用量|5|渗透率|0.00%|",4,"HDPE,LDPE,LLDPE,MLLDPE",有期货用料,有期货订单,非代采客户,正常,未上线,,已绑定,0.3077,40,30-60天,3.5625,1-7天,否,是
茂金属Elite系列,5538G,CPG-广州内海,CPG-广州内海,CPG-广州内海1,厦门内加湖新材料科技有限公司,,终端,改性料|木塑复合材料,其它|改性产品,其它|木塑复合材料,"LLDPE膜料-7042|福建联合,MLLDPE-5220G|陶氏,MLLDPE-5538G|陶氏,MLLDPE-M1835|道达尔,MLLDPE-M3518.CB|埃克森","LLDPE,MLLDPE","LLDPE膜料,MLLDPE",100,未授信,,0,未授信,,,0,,,,,,无复购率,2023-09-05,小客户,,"MLLDPE|月用量|0|渗透率|0.00%|,LLDPE膜料|月用量|25|渗透率|0.00%|",,,,无期货订单,非代采客户,正常,未上线,,已绑定,,,无逾期,,无逾期,否,是
